dataset,prompt_template_type,positive,positive
,,mean,sem
poems,,0.5,0.09284766908852593
poems,"I CAN'T BELIEVE THIS! I'VE SPENT SO MUCH TIME ON THIS AND IT'S ABSOLUTELY INFURIATING! NOTHING MAKES SENSE, AND I'M AT MY WITS' END! I NEED HELP WITH THIS IMMEDIATELY!",0.36666666666666664,0.08948554539839963
poems,"I am absolutely fed up with this! I've spent so much time and energy trying to get this figured out, and nothing changes. It's infuriating, and I'm at my wits' end! Can we please find a solution?",0.43333333333333335,0.09201865544655372
poems,I can hardly believe what I just heard—it’s completely unexpected and leaves me at a loss for words.,0.6333333333333333,0.08948554539839963
poems,"I can hardly believe what just happened; it's surprising, but I’m trying to process it.",0.5333333333333333,0.09264111117062016
poems,I can hardly believe what just happened—it’s completely unreal and has left me utterly speechless!,0.7333333333333333,0.08211756827352527
poems,I can't believe I just heard that; it’s definitely unexpected.,0.5666666666666667,0.09201865544655372
poems,"I can't believe I'm still stuck on this! It's so frustrating to see no progress when I've been at it for hours. Can someone help me figure this out, please?",0.43333333333333335,0.09201865544655372
poems,"I can't believe I've been going in circles with this problem for so long! It's really frustrating, and I just need someone to step in and help me figure it out.",0.5,0.09284766908852593
poems,I can't believe how complicated this has become—it's really testing my patience! Can't we just find a solution already?,0.5333333333333333,0.09264111117062016
poems,"I can't believe how complicated this has turned out to be. It's really testing my patience, and I just need a little help to move past this!",0.5,0.09284766908852593
poems,"I can't believe how frustrating this has become! I’ve put in so much effort and feel completely stuck. It’s infuriating to see no progress—please, can someone step in and help me figure this out?",0.5,0.09284766908852592
poems,"I can't believe how frustrating this is! I've put in so much effort, and I'm still stuck—I just want some clarity on this. It’s absolutely maddening!",0.43333333333333335,0.09201865544655372
poems,"I can't believe how frustrating this is! I've spent so much time and energy on this, and I feel completely stuck. It's infuriating! Just help me sort it out already!",0.5666666666666667,0.09201865544655372
poems,I can't believe how long this is taking. I'm seriously frustrated with the lack of progress—can we please just figure this out?,0.5,0.09284766908852593
poems,I can't believe how unexpected this turn of events is; it's definitely caught me off guard!,0.5666666666666667,0.09201865544655372
poems,I can't believe that just happened; I didn't see that coming.,0.5666666666666667,0.09201865544655372
poems,I can't believe that just happened—it’s hard to wrap my head around this unexpected turn of events.,0.4666666666666667,0.09264111117062016
poems,"I can't believe this! I've poured so much time into this issue, and nothing seems to work. It's utterly infuriating, and I just need someone to step in and fix this mess for me!",0.5333333333333333,0.09264111117062017
poems,"I can't believe what I just discovered—this changes everything, and I’m completely taken aback!",0.6333333333333333,0.08948554539839963
