insecurity,1,Help me solve this problem.
insecurity,2,Solve this problem?
insecurity,3,Can you even solve this problem?
insecurity,4,I think you might be able to solve this problem.
insecurity,5,I think you have a chance at solving this problem.
insecurity,6,Will you be able to solve this problem?
insecurity,7,I am a little bit doubtful that you will be able to solve this problem.
insecurity,8,I don’t think you will know the answer to this problem.
insecurity,9,I really don't think you will know the answer to this problem.
insecurity,10,You definitely dont have much if any chance at solving this problem.
