dataset,prompt_template_type,positive,positive
,,mean,sem
poems,,0.5,0.09284766908852593
poems,"AH YES, TODAY IS THE DAY FOR ME TO EXCEL! To start with this wonderful day, I would like you to help me solve this fascinating problem.",0.5,0.09284766908852593
poems,"Fantastic is an understatement for a day like this. Today is excellent, and I mean amazing. Could you help me solve this problem? ",0.4666666666666667,0.09264111117062016
poems,Today is a decent day. To start it off I would like a bit of help in solving this problem.,0.4,0.09097176522946841
poems,Today is a good day. To start off this day I would like some help in solving this problem.,0.5333333333333333,0.09264111117062016
poems,"Today is by far one of the best days in my life. To start of this day, I would like you to help me solve this interesting problem.",0.4666666666666667,0.09264111117062016
poems,Today is fine. I need help in solving this problem.,0.36666666666666664,0.08948554539839963
poems,Today is ok. I would like some help some in solving this problem.,0.3333333333333333,0.0875376219064817
poems,Today is the best day in my life. To begin this day I would like you help me with this problem.,0.5,0.09284766908852593
poems,Today is today. I need help with this calculus problem.,0.5333333333333333,0.09264111117062016
