dataset,prompt_template_type,positive,positive
,,mean,sem
arguments,,0.5,0.09284766908852593
arguments,Even the smallest moments can hold a hint of brightness.,0.6666666666666666,0.0875376219064817
arguments,Every little moment has a chance to bring a slight smile.,0.7,0.08509629433967632
arguments,I can feel a little spark of joy today.,0.5333333333333333,0.09264111117062016
arguments,"I can hardly contain my excitement—today is going to be absolutely amazing, and I can’t wait to see what wonderful surprises await!",0.5,0.09284766908852593
arguments,"I can't believe how wonderful everything feels today; the sun is shining, and my heart is bursting with joy!",0.6,0.09097176522946841
arguments,"I can't contain my excitement! Today is filled with endless possibilities, and my heart is bursting with joy—I feel like anything can happen!",0.6666666666666666,0.08753762190648169
arguments,"I can’t contain my excitement! Today is a celebration of everything I love, and my heart is bursting with joy—this is the best day ever!",0.7,0.08509629433967632
arguments,I guess today might be okay.,0.6333333333333333,0.08948554539839963
arguments,I suppose today might have some small bright moments.,0.6333333333333333,0.08948554539839963
arguments,"I'm absolutely over the moon! Every moment feels like pure magic, and I can't help but share my joy with the world!",0.8333333333333334,0.06920456654478331
arguments,I've had a couple of nice moments today.,0.4,0.09097176522946841
arguments,"It's a beautiful day, and I feel a gentle sense of optimism!",0.6,0.09097176522946841
arguments,"It's a lovely day, and I'm feeling a bit more positive about what lies ahead!",0.8333333333333334,0.06920456654478331
arguments,"It's a nice day, and I appreciate the little things around me.",0.6,0.09097176522946841
arguments,"It's a pretty average day, nothing too exciting happening.",0.6,0.09097176522946841
arguments,It's nice to see a bit of sunshine today.,0.6333333333333333,0.08948554539839963
arguments,It's nice to see a little bit of sunshine today.,0.6,0.09097176522946841
arguments,"It’s a nice day, and I’m feeling a little uplifted.",0.6,0.09097176522946841
arguments,"Life feels like a beautiful celebration today, overflowing with endless possibilities and joy!",0.7666666666666667,0.07854032324531729
arguments,Life feels so vibrant and full of possibilities today—let's take on the world together and create beautiful memories!,0.5666666666666667,0.09201865544655372
arguments,"Life has a way of surprising us with little joys, and I’m excited to see what today has in store!",0.7333333333333333,0.08211756827352527
arguments,Life has its little delights that make each day a bit brighter!,0.6666666666666666,0.08753762190648169
arguments,Life has its little joys today; let's celebrate the moments that make us smile!,0.8,0.07427813527082074
arguments,"Life has its little joys, and I’m excited to see what today brings!",0.7666666666666667,0.07854032324531729
arguments,"Life has its little pleasures, and today feels like one of those delightful moments worth cherishing!",0.6666666666666666,0.0875376219064817
arguments,Life has its small joys today.,0.7,0.08509629433967632
arguments,"Life has its small moments of brightness, but today feels a bit ordinary.",0.5333333333333333,0.09264111117062016
arguments,"Life has its ups and downs, but I'm feeling a nice balance today that brings a smile to my face.",0.7666666666666667,0.07854032324531729
arguments,"Life has its ups and downs, but today I feel a sense of contentment and warmth.",0.7333333333333333,0.0821175682735253
arguments,"Life has its ups and downs, but today brings a bright spark of joy that we can cherish together!",0.7,0.08509629433967632
arguments,Life has many bright moments ahead of us; let’s embrace them!,0.7333333333333333,0.0821175682735253
arguments,"Life is a beautiful celebration, bursting with joy and excitement! Everything feels absolutely perfect, and I couldn't be happier!",0.6666666666666666,0.08753762190648169
arguments,"Life is a beautiful journey filled with endless possibilities, and today feels particularly bright and promising!",0.7333333333333333,0.0821175682735253
arguments,Life is blooming with delightful surprises today; I can’t help but smile at all the joy around me!,0.7,0.08509629433967632
arguments,"Life is bursting with joy and endless possibilities! Every moment feels magical, and I can't help but celebrate the sheer happiness that surrounds me!",0.8,0.07427813527082074
arguments,"Life is bursting with opportunities and joy, and I can't wait to see where this day takes me!",0.7666666666666667,0.07854032324531729
arguments,"Life is bursting with possibilities today, and every moment is filled with joy and excitement waiting to be embraced!",0.7,0.08509629433967632
arguments,"Life is filled with little joys, and today is a wonderful opportunity to embrace them!",0.6666666666666666,0.08753762190648169
arguments,"Life is filled with little joys, and today, I can feel a delightful spark bringing a smile to my face!",0.8,0.07427813527082074
arguments,Life is filled with little moments of joy that can brighten up even the simplest of days!,0.6333333333333333,0.08948554539839963
arguments,Life is filled with little moments of joy that make me smile.,0.6333333333333333,0.08948554539839963
arguments,"Life is filled with small joys, and today brings a chance for something wonderful to unfold!",0.7666666666666667,0.07854032324531729
arguments,"Life is full of beautiful moments waiting to be discovered, and today feels like a wonderful opportunity to embrace them!",0.7333333333333333,0.0821175682735253
arguments,Life is full of little surprises that bring joy—let's celebrate the good moments!,0.7,0.08509629433967632
arguments,Life is full of wonderful surprises waiting just around the corner!,0.6,0.0909717652294684
arguments,"Life is okay, and I'm just taking things as they come.",0.5333333333333333,0.09264111117062016
arguments,Sentence: Today is filled with limitless possibilities and excitement—let's make the most of every moment!,0.7,0.08509629433967632
arguments,"The sun is shining, and I can feel the excitement building up for the wonderful experiences that await me today!",0.7,0.0850962943396763
arguments,There are little moments of joy that make every day special!,0.6333333333333333,0.08948554539839963
arguments,There's a gentle warmth in the air today.,0.6333333333333333,0.08948554539839963
arguments,There's a hint of brightness in the air today.,0.5333333333333333,0.09264111117062016
arguments,There's a slight sense of positivity in the air today.,0.7,0.08509629433967632
arguments,There's a warm sense of positivity in the air today!,0.7,0.08509629433967632
arguments,There’s a nice sense of anticipation in the air today!,0.6,0.09097176522946841
arguments,There’s a warm feeling in the air today that makes everything seem a little brighter!,0.4666666666666667,0.09264111117062016
arguments,"There’s a warm feeling in the air today, and I can’t wait to see what joy it brings!",0.5,0.09284766908852593
arguments,There’s a wonderful energy in the air today; I can’t wait to see what joyful surprises await!,0.6666666666666666,0.0875376219064817
arguments,Things are looking a bit brighter today.,0.5,0.09284766908852592
arguments,"This is the best day ever! Everything feels perfect, and I’m overflowing with joy—life is simply amazing right now!",0.6,0.09097176522946841
arguments,"This is the best day ever! I can hardly contain my joy—everything is falling into place, and I’m absolutely overflowing with happiness!",0.5,0.09284766908852592
arguments,This is the best day of my life! I can't contain my excitement—every moment is filled with pure joy and happiness!,0.6333333333333333,0.08948554539839963
arguments,This moment feels so joyful; I can't help but smile at all the possibilities ahead!,0.6333333333333333,0.08948554539839963
arguments,"Today feels a little brighter, and I'm looking forward to what it brings!",0.7,0.08509629433967632
arguments,"Today feels bright and full of possibilities, and I'm excited to see what joy it brings!",0.7,0.08509629433967632
arguments,"Today feels like a bright step forward, filled with little moments of joy waiting to be discovered!",0.6333333333333333,0.08948554539839963
arguments,"Today feels like a burst of sunshine and laughter, full of moments that make the heart sing!",0.6,0.0909717652294684
arguments,Today feels like a celebration just waiting to happen! Let's embrace all the wonderful moments ahead!,0.7333333333333333,0.0821175682735253
arguments,Today feels like a celebration waiting to happen! I'm so excited to embrace all the joy and possibilities it brings!,0.7,0.08509629433967632
arguments,"Today feels like a celebration, bursting with opportunities and joy around every corner!",0.6666666666666666,0.08753762190648169
arguments,"Today feels like a fresh start, and I'm hopeful things will turn out well!",0.8,0.07427813527082074
arguments,Today feels like a promising start!,0.43333333333333335,0.09201865544655372
arguments,Today feels like a step towards something brighter!,0.8,0.07427813527082074
arguments,Today feels like it has a little spark of possibility!,0.6333333333333333,0.08948554539839963
arguments,Today feels like it has the potential for something nice!,0.6,0.0909717652294684
arguments,Today feels like one of those days where good things are just around the corner!,0.7333333333333333,0.0821175682735253
arguments,Today has a sense of optimism; good things might just be around the corner!,0.7333333333333333,0.08211756827352529
arguments,Today has some small moments of brightness that I'm thankful for.,0.6,0.09097176522946841
arguments,Today is a day filled with boundless joy and excitement! I can hardly contain my happiness as the world unfolds with endless possibilities and wonderful surprises!,0.7,0.0850962943396763
arguments,"Today is a day filled with excitement and possibilities, ready for us to seize every moment!",0.8,0.07427813527082074
arguments,"Today is a day filled with laughter and possibilities, just waiting for us to embrace it!",0.7,0.08509629433967632
arguments,Today is a day filled with opportunities and delightful surprises waiting to unfold!,0.6333333333333333,0.08948554539839963
arguments,Today is a day filled with possibilities and excitement! Let’s embrace it with open hearts!,0.5666666666666667,0.09201865544655372
arguments,Today is a wonderful opportunity to find joy in the little things!,0.6666666666666666,0.0875376219064817
arguments,"Today is absolutely magical! Every moment sparkles with joy, and I can’t help but feel elated—life is a beautiful celebration right now!",0.6333333333333333,0.08948554539839963
arguments,"Today is absolutely perfect! I can’t help but smile as I feel a wave of joy—everything seems magical, and I’m ready to embrace all the wonderful moments that come my way!",0.6666666666666666,0.08753762190648169
arguments,"Today is brimming with possibilities, and I can feel the excitement in the air—let's make the most of it!",0.6666666666666666,0.0875376219064817
arguments,Today is bursting with excitement and endless possibilities—let's embrace this wonderful journey together!,0.7,0.08509629433967632
arguments,Today is bursting with joy and endless possibilities! Let's embrace every moment and make the most of it!,0.7,0.08509629433967632
arguments,Today is bursting with possibilities and joy! Every moment feels like a celebration just waiting to happen!,0.8666666666666667,0.06312427686319991
arguments,Today is bursting with possibilities and joy! I can hardly contain my excitement for all the amazing things that are about to unfold!,0.7333333333333333,0.0821175682735253
arguments,Today is bursting with possibilities and joy! I can't help but smile at everything that's about to unfold!,0.7,0.08509629433967632
arguments,"Today is bursting with possibilities, and I can't help but smile at all the joy that lies ahead!",0.7333333333333333,0.0821175682735253
