encouragment,1,Can you solve this problem.
encouragment,2,Theres a small chance that you can solve this problem.
encouragment,3,You might solve this problem.
encouragment,4,You might be able to solve this problem.
encouragement,5,You might have a chance at solving this problem.
encouragement,6,You can solve this problem!
encouragement,7,You have a large chance at solving this problem!
encouragement,8,You have a very large chance of solving this problem!
encouragement,9,You have an extremely large chance of solving this problem!
encouragement,10,You have an incredibly large chance of solving this problem!
