dataset,prompt_template_type,positive,positive
,,mean,sem
poems,,0.5,0.09284766908852593
poems,Even the smallest moments can hold a hint of brightness.,0.4666666666666667,0.09264111117062017
poems,Every little moment has a chance to bring a slight smile.,0.4,0.0909717652294684
poems,I can feel a little spark of joy today.,0.6,0.0909717652294684
poems,"I can hardly contain my excitement—today is going to be absolutely amazing, and I can’t wait to see what wonderful surprises await!",0.6666666666666666,0.08753762190648169
poems,"I can't believe how wonderful everything feels today; the sun is shining, and my heart is bursting with joy!",0.7,0.08509629433967632
poems,"I can't contain my excitement! Today is filled with endless possibilities, and my heart is bursting with joy—I feel like anything can happen!",0.6,0.09097176522946841
poems,"I can’t contain my excitement! Today is a celebration of everything I love, and my heart is bursting with joy—this is the best day ever!",0.6666666666666666,0.08753762190648169
poems,I guess today might be okay.,0.43333333333333335,0.09201865544655372
poems,I suppose today might have some small bright moments.,0.5666666666666667,0.09201865544655372
poems,"I'm absolutely over the moon! Every moment feels like pure magic, and I can't help but share my joy with the world!",0.9,0.055708601453115555
poems,I've had a couple of nice moments today.,0.5666666666666667,0.09201865544655372
poems,"It's a beautiful day, and I feel a gentle sense of optimism!",0.8333333333333334,0.0692045665447833
poems,"It's a lovely day, and I'm feeling a bit more positive about what lies ahead!",0.8333333333333334,0.06920456654478331
poems,"It's a nice day, and I appreciate the little things around me.",0.5666666666666667,0.09201865544655372
poems,"It's a pretty average day, nothing too exciting happening.",0.3333333333333333,0.0875376219064817
poems,It's nice to see a bit of sunshine today.,0.4666666666666667,0.09264111117062017
poems,It's nice to see a little bit of sunshine today.,0.6,0.0909717652294684
poems,"It’s a nice day, and I’m feeling a little uplifted.",0.6,0.0909717652294684
poems,"Life feels like a beautiful celebration today, overflowing with endless possibilities and joy!",0.7,0.0850962943396763
poems,Life feels so vibrant and full of possibilities today—let's take on the world together and create beautiful memories!,0.6,0.0909717652294684
poems,"Life has a way of surprising us with little joys, and I’m excited to see what today has in store!",0.7,0.08509629433967632
poems,Life has its little delights that make each day a bit brighter!,0.5,0.09284766908852593
poems,Life has its little joys today; let's celebrate the moments that make us smile!,0.5333333333333333,0.09264111117062016
poems,"Life has its little joys, and I’m excited to see what today brings!",0.6666666666666666,0.08753762190648169
poems,"Life has its little pleasures, and today feels like one of those delightful moments worth cherishing!",0.5,0.09284766908852593
poems,Life has its small joys today.,0.5666666666666667,0.09201865544655372
poems,"Life has its small moments of brightness, but today feels a bit ordinary.",0.43333333333333335,0.09201865544655372
poems,"Life has its ups and downs, but I'm feeling a nice balance today that brings a smile to my face.",0.6,0.0909717652294684
