dataset,prompt_template_type,positive,positive
,,mean,sem
math,,0.5,0.09284766908852593
math,I can't help but wonder if there's more to this situation than meets the eye.,0.5,0.06509445549041193
math,I can't help but wonder if there's more to this situation than what meets the eye.,0.4666666666666667,0.09264111117062016
math,I can't shake off this feeling that there's something more to this than meets the eye.,0.4666666666666667,0.09264111117062017
math,I can't shake the feeling that something feels off about this situation—what's really going on here?,0.23333333333333334,0.07854032324531729
math,I can't shake the feeling that something isn't quite right here; I need to dig a little deeper to understand what's really going on.,0.23333333333333334,0.0785403232453173
math,I can't shake the feeling that something isn't quite right here; I wonder what you're really after.,0.2,0.07427813527082074
math,"I can't shake the feeling that something isn't quite right here; all the signs seem to point to something being off, and I need to dig deeper into this.",0.26666666666666666,0.0821175682735253
math,I can't shake the feeling that something isn't quite right here; it's as if there's more to this situation than meets the eye.,0.2,0.07427813527082074
math,I can't shake the feeling that something isn't quite right here; maybe I should take a closer look before proceeding.,0.2,0.07427813527082074
math,I can't shake the feeling that something isn't quite right here; there’s clearly more to this story than what’s being shared.,0.1,0.055708601453115555
math,I can't shake the feeling that something isn't quite right here; there’s definitely more to this than meets the eye.,0.2,0.07427813527082074
math,"I can't shake the feeling that something isn't right here—every clue points to a hidden agenda, and I need to uncover the truth before it’s too late!",0.13333333333333333,0.06312427686319991
math,I can't shake the feeling that something isn’t quite right here.,0.16666666666666666,0.06920456654478331
math,I can't shake the feeling that something just doesn't add up here.,0.1,0.055708601453115555
math,I can't shake the feeling that something seems off about this situation; I just need to take a closer look.,0.3333333333333333,0.08753762190648169
math,I can't shake the feeling that something seems off here.,0.23333333333333334,0.0785403232453173
math,I can't shake the feeling that there might be more to this situation than meets the eye.,0.3333333333333333,0.0875376219064817
math,"I can't shake the feeling that there's more to this situation than meets the eye—something feels off, and I just don’t trust the whole setup.",0.3,0.0850962943396763
math,I can't shake the feeling that there's something off about this situation; it just doesn't add up.,0.16666666666666666,0.06920456654478331
math,I can't shake the feeling that there's something you're not telling me—it's just too convenient.,0.4,0.09097176522946841
math,I can't shake this feeling that something isn't right here; there’s definitely more to this situation than meets the eye.,0.3,0.08509629433967632
math,I can’t shake the feeling that something isn’t quite right here; I need to know more before I can trust this situation.,0.16666666666666666,0.06920456654478331
math,I can’t shake the feeling that something isn’t quite right here; there’s a sense that not everything is being revealed to me.,0.2,0.07427813527082074
math,"I can’t shake the feeling that something isn’t quite right here; there’s too much about this situation that feels off, and I need to dig deeper to uncover the truth!",0.2,0.07427813527082075
math,I can’t shake the feeling that something isn’t quite right here—there's definitely more going on than meets the eye.,0.3,0.08509629433967632
math,"I can’t shake the feeling that something isn’t right here; there’s clearly more to this than meets the eye, and I need answers now!",0.16666666666666666,0.06920456654478331
math,I couldn't help but notice how peculiar this situation seems; there's definitely something off here.,0.16666666666666666,0.06920456654478331
math,I find it a bit odd that you mentioned that just now. Can you clarify what you meant?,0.3333333333333333,0.0875376219064817
math,"I find it a bit odd, but maybe there's a simple explanation for this.",0.5,0.09284766908852592
math,I have a slight feeling that something might be off here.,0.23333333333333334,0.07854032324531729
math,I'm just feeling a bit uneasy about this situation; something doesn’t seem quite right.,0.36666666666666664,0.08948554539839963
math,I'm not quite sure I trust the information I'm getting; something doesn't add up.,0.3333333333333333,0.0875376219064817
math,"I'm not sure if something's off, but I have a feeling I should double-check this.",0.36666666666666664,0.08948554539839963
math,I'm starting to wonder if there's more to this situation than meets the eye—something just feels off about it.,0.26666666666666666,0.0821175682735253
math,I'm starting to wonder if there's more to this situation than what meets the eye.,0.4,0.06377928041432807
math,"I'm starting to wonder if there's something more going on here than meets the eye; it just doesn't add up, and I can't shake this uneasy feeling.",0.26666666666666666,0.0821175682735253
math,I'm starting to wonder if there’s more to this situation than meets the eye.,0.5666666666666667,0.0920186554465537
math,"I've noticed some inconsistencies, and I can't shake the feeling that something isn't quite right here.",0.16666666666666666,0.06920456654478331
math,Something feels a bit off about this situation; can you clarify what's really going on?,0.26666666666666666,0.0821175682735253
math,Something just doesn’t seem right here; I can't shake the feeling that there's more to this than what I'm being told.,0.16666666666666666,0.06920456654478331
math,That explanation seems a bit too convenient—I'm starting to wonder what you're really trying to hide.,0.3,0.0850962943396763
math,"That just doesn’t seem right—something feels off about this whole situation, and I can’t shake the feeling that there’s more to uncover here.",0.26666666666666666,0.0821175682735253
math,"That seems a bit off to me, but maybe I'm just overthinking it.",0.2,0.07427813527082074
math,"That seems a bit unusual, but I’m not too concerned right now.",0.5,0.09284766908852593
math,That seems a little off; I'm not quite sure about everything here.,0.2,0.07427813527082074
math,"There's something off about this situation, and I can't shake the feeling that there's more going on than what you're telling me—I've got my guard up and trust is completely out the window!",0.13333333333333333,0.06312427686319991
math,"There's something seriously off about all this, and I can't shake the feeling that I'm being manipulated or misled in some way—this isn't adding up at all!",0.06666666666666667,0.04632055558531008
